,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
14366,486382,11/12/2022,sábado,19:58:00,MG,40.0,733.7,OLIVEIRA FORTES,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,Não,3,0,0,2,1,0,2,2,-21.35659703,-43.5810239,SPRF-MG,DEL05-MG,UOP01-DEL05-MG,12/11/2022 20:00:00,0.3,19.8,21.6,86.0,69.0,5.7,0.0
39607,459332,7/2/2022,sábado,23:00:00,SP,116.0,284.0,ITAPECERICA DA SERRA,Ausência de reação do condutor,Saída de leito carroçável,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,1,0,0,0,1,0,0,1,-23.69998,-46.867767,SPRF-SP,DEL04-SP,UOP01-DEL04-SP,02/07/2022 23:00:00,0.0,14.7,14.0,78.0,0.0,6.4,0.0
26402,422140,3/22/2022,terça-feira,17:30:00,SP,153.0,71.9,SAO JOSE DO RIO PRETO,Avarias e/ou desgaste excessivo no pneu,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,2,0,0,0,2,1,-20.86727322,-49.41330671,SPRF-SP,DEL09-SP,UOP01-DEL09-SP,22/03/2022 18:00:00,0.0,26.8,28.7,58.0,10.0,5.7,1.0
36694,454999,6/10/2022,sexta-feira,12:30:00,SC,470.0,54.5,BLUMENAU,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Interseção de vias,Sim,3,0,1,1,1,0,2,2,-26.871065,-49.110374,SPRF-SC,DEL04-SC,UOP01-DEL04-SC,10/06/2022 13:00:00,0.0,21.1,20.8,70.0,60.0,14.8,1.0
6850,453977,6/4/2022,sábado,19:40:00,MT,163.0,758.0,SORRISO,Ausência de reação do condutor,Colisão traseira,Sem Vítimas,Anoitecer,Crescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,2,0,0,0,2,0,0,2,-12.50864886,-55.69283009,SPRF-MT,DEL06-MT,UOP01-DEL06-MT,04/06/2022 20:00:00,0.0,26.8,26.3,40.0,2.0,7.9,0.0
55135,483070,10/26/2022,quarta-feira,7:45:00,SC,101.0,327.0,CAPIVARI DE BAIXO,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Interseção de vias,Sim,2,0,1,0,0,1,1,2,-28.43023306,-48.95205197,SPRF-SC,DEL02-SC,UOP01-DEL02-SC,26/10/2022 08:00:00,0.0,20.8,20.2,76.0,4.0,19.1,1.0
15145,489742,11/29/2022,terça-feira,21:00:00,MG,40.0,327.0,FELIXLANDIA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Não Informado,Não,2,0,1,0,1,0,1,2,-18.55022585,-45.02982475,SPRF-MG,DEL14-MG,UOP02-DEL14-MG,29/11/2022 21:00:00,2.2,21.4,24.0,85.0,44.0,4.3,0.0
60372,490943,12/1/2022,quinta-feira,19:40:00,BA,101.0,340.0,PRESIDENTE TANCREDO NEVES,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Crescente,Chuva,Simples,Reta,Não,2,1,0,0,1,0,0,1,-13.50582015,-39.44641113,SPRF-BA,DEL05-BA,UOP03-DEL05-BA,01/12/2022 20:00:00,0.0,23.5,27.7,93.0,100.0,6.8,0.0
28976,443366,4/10/2022,domingo,3:00:00,PR,369.0,234.0,JANDAIA DO SUL,Ingestão de álcool pelo condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Reta,Não,1,0,0,1,0,0,1,1,-23.62419429,-51.66803598,SPRF-PR,DEL09-PR,UOP01-DEL09-PR,10/04/2022 03:00:00,0.0,20.2,22.6,93.0,27.0,6.7,0.0
58397,487900,11/19/2022,sábado,20:00:00,PE,423.0,56.0,LAJEDO,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,1,-8.62399689,-36.3013734,SPRF-PE,DEL03-PE,UOP01-DEL03-PE,19/11/2022 20:00:00,0.0,22.8,23.7,73.0,24.0,12.6,0.0
28126,424951,4/6/2022,quarta-feira,17:30:00,MG,40.0,594.2,OURO PRETO,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Reta,Não,6,0,1,0,5,0,1,5,-20.39632706,-43.90313706,SPRF-MG,DEL05-MG,UOP02-DEL05-MG,06/04/2022 18:00:00,1.3,20.2,22.5,87.0,100.0,4.4,0.0
48924,473649,9/10/2022,sábado,23:50:00,SC,101.0,122.0,ITAJAI,Ingestão de álcool pelo condutor,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Não,2,0,0,0,2,0,0,2,-26.92938773,-48.7048173,SPRF-SC,DEL04-SC,UOP04-DEL04-SC,11/09/2022 00:00:00,0.0,14.6,13.1,74.0,56.0,10.0,0.0
42056,463157,7/22/2022,sexta-feira,6:30:00,MG,40.0,547.5,NOVA LIMA,Condutor deixou de manter distância do veículo da frente,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,Sim,1,0,1,0,0,0,1,1,-20.02252424,-43.97026042,SPRF-MG,DEL01-MG,UOP02-DEL01-MG,22/07/2022 07:00:00,0.0,10.3,9.5,91.0,23.0,3.6,1.0
59038,488961,11/27/2022,domingo,1:05:00,PR,369.0,209.0,APUCARANA,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,Não,1,0,1,0,0,0,1,1,-23.56521367,-51.50410613,SPRF-PR,DEL07-PR,UOP03-DEL07-PR,27/11/2022 01:00:00,0.0,18.1,17.6,80.0,19.0,14.3,0.0
33773,450555,5/18/2022,quarta-feira,10:00:00,RJ,116.0,172.9,MESQUITA,Reação tardia ou ineficiente do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Viaduto,Não,3,0,1,0,2,0,1,1,-22.77419717,-43.40220809,SPRF-RJ,DEL01-RJ,UOP02-DEL01-RJ,18/05/2022 10:00:00,0.0,18.8,15.2,40.0,0.0,17.6,1.0
