,id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop,rounded_datetime,rain,temperature_2m,apparent_temperature,relativehumidity_2m,cloudcover,windspeed_10m,is_day
55885,484095,10/31/2022,segunda-feira,11:30:00,MG,50.0,59.4,UBERLANDIA,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Não Informado,Não,5,0,4,0,1,0,4,1,-18.80182592,-48.23899615,SPRF-MG,DEL15-MG,UOP02-DEL15-MG,31/10/2022 12:00:00,0.0,32.3,33.6,39.0,93.0,18.9,1.0
55888,484102,10/31/2022,segunda-feira,11:30:00,MG,381.0,941.2,EXTREMA,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não,2,0,2,0,0,0,2,1,-22.83054191,-46.31499213,SPRF-MG,DEL16-MG,UOP03-DEL16-MG,31/10/2022 12:00:00,0.0,27.8,32.4,62.0,100.0,12.2,1.0
55889,484103,10/31/2022,segunda-feira,12:30:00,GO,50.0,268.0,CATALAO,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Desvio Temporário,Não,1,0,1,0,0,0,1,1,-18.0944,-47.8761,SPRF-GO,DEL06-GO,UOP01-DEL06-GO,31/10/2022 13:00:00,0.0,32.1,34.1,35.0,85.0,13.8,1.0
55896,484110,10/31/2022,segunda-feira,12:30:00,MG,381.0,923.5,CAMANDUCAIA,Chuva,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,4,0,3,0,1,0,3,1,-22.77517102,-46.18723246,SPRF-MG,DEL16-MG,UOP03-DEL16-MG,31/10/2022 13:00:00,0.1,27.8,31.6,59.0,100.0,7.0,1.0
55898,484112,10/31/2022,segunda-feira,13:20:00,RS,386.0,359.6,ESTRELA,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Não Informado,Não,2,0,2,0,0,0,2,1,-29.540054,-51.913406,SPRF-RS,DEL04-RS,UOP02-DEL04-RS,31/10/2022 13:00:00,2.4,13.4,11.5,95.0,100.0,17.8,1.0
55910,484135,10/31/2022,segunda-feira,10:00:00,MG,381.0,183.7,GOVERNADOR VALADARES,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,2,0,1,1,0,0,2,1,-19.02469134,-42.14640185,SPRF-MG,DEL06-MG,UOP01-DEL06-MG,31/10/2022 10:00:00,0.4,27.2,31.2,72.0,95.0,5.2,1.0
55912,484140,10/31/2022,segunda-feira,16:20:00,MG,381.0,907.5,CAMBUI,Chuva,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Não Informado,Não,1,0,1,0,0,0,1,1,-22.67443853,-46.0976476,SPRF-MG,DEL16-MG,UOP03-DEL16-MG,31/10/2022 16:00:00,2.8,22.6,24.7,79.0,100.0,7.7,1.0
55933,484169,10/30/2022,domingo,23:00:00,ES,101.0,225.5,IBIRACU,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Curva,Não,1,0,0,1,0,0,1,1,-19.89290688,-40.41230369,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,30/10/2022 23:00:00,0.0,24.1,26.5,87.0,100.0,15.8,0.0
55936,484175,10/31/2022,segunda-feira,15:40:00,SC,282.0,584.4,PINHALZINHO,Chuva,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Chuva,Simples,Curva,Não,2,1,1,0,0,0,1,1,-26.83195979,-53.0211997,SPRF-SC,DEL07-SC,UOP02-DEL07-SC,31/10/2022 16:00:00,1.5,12.9,10.2,92.0,100.0,22.0,1.0
55982,484249,11/1/2022,terça-feira,10:00:00,BA,242.0,400.0,SEABRA,Chuva,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Não,2,0,1,0,1,0,1,1,-12.47134497,-41.69102199,SPRF-BA,DEL06-BA,UOP01-DEL06-BA,01/11/2022 10:00:00,0.1,23.6,25.8,74.0,100.0,6.8,1.0
55983,484250,11/1/2022,terça-feira,11:00:00,PR,376.0,202.0,MARIALVA,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,2,0,2,0,0,0,2,1,-23.50951388,-51.72140497,SPRF-PR,DEL09-PR,UOP01-DEL09-PR,01/11/2022 11:00:00,0.1,16.1,15.3,78.0,100.0,10.8,1.0
55984,484253,11/1/2022,terça-feira,11:05:00,SP,116.0,508.9,CAJATI,Chuva,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Múltipla,Curva,Não,4,0,1,0,3,0,1,1,-24.81333299,-48.21310484,SPRF-SP,DEL05-SP,UOP02-DEL05-SP,01/11/2022 11:00:00,0.7,16.3,14.4,89.0,100.0,23.4,1.0
56019,484308,11/1/2022,terça-feira,17:45:00,PR,376.0,618.0,SAO JOSE DOS PINHAIS,Chuva,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Garoa/Chuvisco,Dupla,Reta,Não,2,0,1,0,1,0,1,2,-25.59168398,-49.17197705,SPRF-PR,DEL01-PR,UOP04-DEL01-PR,01/11/2022 18:00:00,0.3,9.1,6.7,91.0,100.0,13.1,1.0
56026,484319,11/1/2022,terça-feira,17:00:00,GO,80.0,131.0,BARRO ALTO,Chuva,Colisão com objeto,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Simples,Curva,Não,6,0,2,1,2,1,3,1,-14.983667,-48.925376,SPRF-GO,DEL07-GO,UOP02-DEL07-GO,01/11/2022 17:00:00,0.3,26.0,29.5,74.0,100.0,5.2,1.0
56091,484428,11/2/2022,quarta-feira,17:40:00,MG,381.0,528.0,BRUMADINHO,Chuva,Tombamento,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Dupla,Não Informado,Não,2,0,0,1,1,0,1,1,-20.16368096,-44.36025002,SPRF-MG,DEL04-MG,UOP03-DEL04-MG,02/11/2022 18:00:00,1.9,14.8,12.8,90.0,100.0,20.9,1.0
56095,484434,11/2/2022,quarta-feira,15:30:00,RJ,40.0,92.0,PETROPOLIS,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Não Informado,Não,1,0,1,0,0,0,1,1,-22.55191954,-43.25068815,SPRF-RJ,DEL06-RJ,UOP02-DEL06-RJ,02/11/2022 16:00:00,0.9,15.7,15.3,93.0,100.0,13.4,1.0
56098,484437,10/22/2022,sábado,5:30:00,MG,40.0,51.0,PARACATU,Chuva,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Simples,Reta,Não,1,1,0,0,0,0,0,1,-17.24393726,-46.79248346,SPRF-MG,DEL14-MG,UOP01-DEL14-MG,22/10/2022 06:00:00,0.0,22.1,24.4,79.0,77.0,4.5,1.0
56105,484446,11/2/2022,quarta-feira,15:00:00,MG,381.0,423.0,CAETE,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Não,2,0,0,2,0,0,2,1,-19.78973406,-43.67222724,SPRF-MG,DEL01-MG,UOP01-DEL01-MG,02/11/2022 15:00:00,0.5,16.6,15.0,79.0,100.0,17.4,1.0
56110,484452,11/2/2022,quarta-feira,17:15:00,MG,381.0,615.5,OLIVEIRA,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Dupla,Não Informado,Não,1,0,1,0,0,0,1,1,-20.718562,-44.76586,SPRF-MG,DEL04-MG,UOP01-DEL04-MG,02/11/2022 17:00:00,0.4,14.3,11.9,86.0,100.0,20.7,1.0
56128,484483,11/3/2022,quinta-feira,1:30:00,MG,40.0,511.8,RIBEIRAO DAS NEVES,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Não Informado,Sim,2,0,1,0,1,0,1,1,-19.78164295,-44.11733194,SPRF-MG,DEL01-MG,UOP02-DEL01-MG,03/11/2022 02:00:00,1.0,13.6,11.8,90.0,100.0,16.7,0.0
56143,484511,11/3/2022,quinta-feira,7:38:00,RJ,40.0,92.0,PETROPOLIS,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Não Informado,Não,1,0,1,0,0,0,1,1,-22.55191954,-43.25068815,SPRF-RJ,DEL06-RJ,UOP02-DEL06-RJ,03/11/2022 08:00:00,0.2,15.3,15.1,89.0,87.0,9.4,1.0
56146,484514,11/3/2022,quinta-feira,8:15:00,BA,324.0,1.0,SALVADOR,Chuva,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Viaduto,Sim,1,0,1,0,0,0,1,1,-12.971561,-38.511154,SPRF-BA,DEL01-BA,UOP01-DEL01-BA,03/11/2022 08:00:00,0.5,25.5,29.8,84.0,62.0,6.3,1.0
56148,484516,11/3/2022,quinta-feira,7:40:00,MG,381.0,542.0,ITATIAIUCU,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-20.26492509,-44.42256682,SPRF-MG,DEL04-MG,UOP03-DEL04-MG,03/11/2022 08:00:00,0.0,11.7,7.8,83.0,100.0,24.4,1.0
56175,484557,9/13/2022,terça-feira,19:20:00,PR,476.0,135.0,CURITIBA,Chuva,Eventos atípicos,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,4,0,1,0,1,2,1,3,-25.483786,-49.265808,SPRF-PR,DEL01-PR,UOP03-DEL01-PR,13/09/2022 19:00:00,1.5,18.2,19.8,86.0,86.0,3.3,0.0
56179,484562,11/3/2022,quinta-feira,15:00:00,BA,116.0,608.0,IRAJUBA,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Não,3,0,3,0,0,0,3,1,-13.3064168,-40.0262023,SPRF-BA,DEL03-BA,UOP01-DEL03-BA,03/11/2022 15:00:00,0.1,22.6,23.7,81.0,72.0,15.8,1.0
56369,484850,11/4/2022,sexta-feira,17:00:00,RJ,40.0,91.0,PETROPOLIS,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Desvio Temporário,Não,4,0,3,0,1,0,3,1,-22.54903566,-43.24229724,SPRF-RJ,DEL06-RJ,UOP02-DEL06-RJ,04/11/2022 17:00:00,0.3,15.9,15.6,79.0,95.0,6.6,1.0
56398,484894,11/5/2022,sábado,2:20:00,PE,232.0,131.0,CARUARU,Chuva,Colisão com objeto,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,1,0,0,0,0,1,0,1,-8.30117613,-35.99843996,SPRF-PE,DEL02-PE,UOP01-DEL02-PE,05/11/2022 02:00:00,0.3,21.3,25.0,94.0,100.0,2.3,0.0
56493,485043,11/5/2022,sábado,16:20:00,BA,101.0,395.0,IBIRAPITANGA,Chuva,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Simples,Curva,Não,1,0,1,0,0,0,1,1,-14.0544468,-39.38441961,SPRF-BA,DEL05-BA,UOP03-DEL05-BA,05/11/2022 16:00:00,1.0,20.8,23.4,90.0,100.0,5.7,1.0
56563,485140,11/5/2022,sábado,18:50:00,BA,110.0,374.0,CATU,Chuva,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Curva,Não,2,0,1,0,0,1,1,2,-12.41265011,-38.45800404,SPRF-BA,DEL01-BA,UOP01-DEL01-BA,05/11/2022 19:00:00,1.0,22.1,24.0,89.0,100.0,14.2,0.0
56608,485202,11/6/2022,domingo,16:50:00,SP,116.0,25.8,SILVEIRAS,Chuva,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Não Informado,Não,2,0,2,0,0,0,2,1,-22.60592606,-44.89504495,SPRF-SP,DEL08-SP,UOP02-DEL08-SP,06/11/2022 17:00:00,0.1,18.6,18.4,70.0,98.0,8.2,1.0
56637,485246,11/6/2022,domingo,20:35:00,PI,316.0,308.0,PICOS,Chuva,Tombamento,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Reta,Sim,1,0,1,0,0,0,1,1,-7.07773683,-41.492757,SPRF-PI,DEL04-PI,UOP01-DEL04-PI,06/11/2022 21:00:00,0.0,25.6,28.7,76.0,86.0,9.0,0.0
56659,485274,11/6/2022,domingo,23:00:00,RJ,493.0,51.0,DUQUE DE CAXIAS,Chuva,Capotamento,Sem Vítimas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,1,0,0,0,0,1,0,1,-22.669,-43.309,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ,06/11/2022 23:00:00,0.0,19.4,20.4,80.0,89.0,6.2,0.0
56704,485340,11/7/2022,segunda-feira,9:20:00,RS,116.0,263.4,CANOAS,Chuva,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,-29.90545398,-51.17674031,SPRF-RS,DEL01-RS,UOP01-DEL01-RS,07/11/2022 09:00:00,0.3,18.0,16.3,71.0,43.0,17.4,1.0
56771,485438,11/7/2022,segunda-feira,18:40:00,SE,235.0,6.1,NOSSA SENHORA DO SOCORRO,Chuva,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Dupla,Reta,Não,1,0,1,0,0,0,1,1,-10.903851,-37.128677,SPRF-SE,DEL01-SE,UOP01-DEL01-SE,07/11/2022 19:00:00,2.8,23.7,26.0,88.0,100.0,16.0,0.0
56800,485484,11/8/2022,terça-feira,7:30:00,MG,40.0,805.0,JUIZ DE FORA,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,-21.86534291,-43.36765294,SPRF-MG,DEL05-MG,UOP01-DEL05-MG,08/11/2022 08:00:00,0.1,15.9,16.4,88.0,100.0,4.8,1.0
56820,485517,11/8/2022,terça-feira,12:15:00,RS,290.0,143.0,ELDORADO DO SUL,Chuva,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Garoa/Chuvisco,Simples,Reta,Não,2,0,2,0,0,0,2,2,-30.093309,-51.637798,SPRF-RS,DEL02-RS,UOP01-DEL02-RS,08/11/2022 12:00:00,0.2,20.9,21.8,71.0,74.0,14.0,1.0
56826,485527,11/8/2022,terça-feira,11:54:00,MG,50.0,180.0,UBERABA,Chuva,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Não Informado,Sim,1,0,1,0,0,0,1,1,-19.77848216,-47.92194709,SPRF-MG,DEL13-MG,UOP01-DEL13-MG,08/11/2022 12:00:00,0.1,27.8,32.0,47.0,19.0,2.6,1.0
